,assetTypeNumber,assetNumber,reportingPeriodBeginningDate,reportingPeriodEndingDate,originatorName,originationDate,originalLoanAmount,originalLoanTerm,loanMaturityDate,originalInterestRatePercentage,interestCalculationTypeCode,originalInterestRateTypeCode,originalInterestOnlyTermNumber,originalFirstPaymentDate,underwritingIndicator,gracePeriodNumber,paymentTypeCode,subvented,vehicleManufacturerName,vehicleModelName,vehicleNewUsedCode,vehicleModelYear,vehicleTypeCode,vehicleValueAmount,vehicleValueSourceCode,obligorCreditScoreType,obligorCreditScore,obligorIncomeVerificationLevelCode,obligorEmploymentVerificationCode,coObligorIndicator,paymentToIncomePercentage,obligorGeographicLocation,assetAddedIndicator,remainingTermToMaturityNumber,reportingPeriodModificationIndicator,servicingAdvanceMethodCode,reportingPeriodBeginningLoanBalanceAmount,nextReportingPeriodPaymentAmountDue,reportingPeriodInterestRatePercentage,nextInterestRatePercentage,servicingFeePercentage,servicingFlatFeeAmount,otherServicerFeeRetainedByServicer,otherAssessedUncollectedServicerFeeAmount,scheduledInterestAmount,scheduledPrincipalAmount,otherPrincipalAdjustmentAmount,reportingPeriodActualEndBalanceAmount,reportingPeriodScheduledPaymentAmount,totalActualAmountPaid,actualInterestCollectedAmount,actualPrincipalCollectedAmount,actualOtherCollectedAmount,servicerAdvancedAmount,interestPaidThroughDate,zeroBalanceEffectiveDate,zeroBalanceCode,currentDelinquencyStatus,primaryLoanServicerName,mostRecentServicingTransferReceivedDate,assetSubjectDemandIndicator,assetSubjectDemandStatusCode,repurchaseAmount,DemandResolutionDate,repurchaserName,repurchaseReplacementReasonCode,chargedoffPrincipalAmount,recoveredAmount,modificationTypeCode,paymentExtendedNumber,repossessedIndicator,repossessedProceedsAmount,LTV,loanDiff,StateUnemployment
2432,SDART0201700003,"=""1981063""",09/01/2017,09-30-2017,SC,08/2012,24488.7,72,12/2018,0.0569,1,1,-,09/2012,True,1,2,0,HONDA,Civic-4 Cyl.,1,2012,1,18605.0,98,Bureau,703,2,2,0,0.09617369,KY,-,16,False,1,6810.33,0.0,0.0569,0.0569,0.03,-,-,0.0,18.2686,384.0014,0.0,0.0,402.27,7238.53,10.61,6810.33,417.59,-,08-29-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,True,0.00,131.6242945444773,17678.370000000003,4.7
2466,SDART0201700003,"=""2000306""",09/01/2017,09-30-2017,SC,09/2012,16057.5,72,09/2018,0.21,1,1,-,10/2012,True,1,2,0,FORD TRUCK,Econoline E350 Wag-V8,2,2008,1,17025.0,98,Bureau,669,2,2,1,0.0503,MA,-,13,False,1,4482.15,0.0,0.21,0.21,0.03,-,-,0.0,76.8525,317.1375,0.0,0.0,393.99,4559.51,77.36,4482.15,0.0,-,08-21-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,94.31718061674009,11575.35,3.6
2494,SDART0201700003,"=""1984196""",09/01/2017,09-30-2017,SC,08/2012,20999.18,72,09/2018,0.2043,1,1,-,09/2012,True,1,2,0,KIA,SEDONA,2,2011,1,17425.0,98,Bureau,626,2,2,0,0.16931667,GA,-,13,False,1,6448.72,0.0,0.2043,0.2043,0.03,-,-,0.0,93.4374,414.8026,0.0,0.0,508.24,6767.84,119.12,6448.72,200.0,-,08-19-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,120.51179340028695,14550.46,4.5
2535,SDART0201700003,"=""2004478""",09/01/2017,09-30-2017,SC,09/2012,21598.56,72,02/2019,0.1859,1,1,-,10/2012,True,1,2,0,FORD,Focus-4 Cyl.,1,2012,1,20109.41,98,Bureau,569,3,3,0,0.11179651,NJ,-,18,False,1,11964.53,0.0,0.1859,0.1859,0.03,-,-,0.0,90.5451,409.3049,0.0,0.0,499.85,12846.09,231.56,11964.53,650.0,-,08-01-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,107.40523963656815,9634.03,4.7
2565,SDART0201700003,"=""2012944""",09/01/2017,09-30-2017,SC,09/2012,11013.0,72,09/2018,0.21,1,1,-,10/2012,True,1,2,0,MITSUBISHI,GALANT,2,2011,1,10850.0,98,Bureau,525,2,2,1,0.02962391,KS,-,13,False,1,3137.13,0.0,0.21,0.21,0.03,-,-,0.0,52.6982,217.5118,0.0,0.0,270.21,3167.81,30.68,3137.13,0.0,-,08-21-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,101.50230414746544,7875.87,3.6
2616,SDART0201700003,"=""2018322""",09/01/2017,09-30-2017,SC,09/2012,31420.39,72,09/2018,0.0779,1,1,-,10/2012,True,1,2,0,CHEVROLET TRUCK,Tahoe-V8,2,2009,3,29000.0,98,Bureau,689,2,2,0,0.11690213,NM,-,13,False,1,5946.82,0.0,0.0779,0.0779,0.03,-,-,0.0,42.5778,505.1122,0.0,0.0,547.69,5979.82,33.0,5946.82,0.0,-,08-19-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,108.3461724137931,25473.57,6.0
2642,SDART0201700003,"=""2026746""",09/01/2017,09-30-2017,SC,09/2012,13697.69,72,09/2018,0.1389,1,1,-,10/2012,True,1,2,0,Chevrolet,Aveo,2,2011,1,10289.0,3,Bureau,596,2,2,0,0.04329846,CA,-,13,False,1,3356.66,0.0,0.1389,0.1389,0.03,-,-,0.0,39.108,242.332,0.0,0.0,281.44,3417.49,60.83,3356.66,0.0,-,09-10-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,133.129458645155,10341.03,4.5
2742,SDART0201700003,"=""2073405""",09/01/2017,09-30-2017,SC,09/2012,41751.7,72,10/2018,0.0559,1,1,-,11/2012,True,2,2,1,Jeep,Wrangler,1,2012,3,37176.0,98,Bureau,777,2,2,1,0.07253651,CA,-,14,False,1,9833.04,0.0,0.0559,0.0559,0.03,-,-,0.0,41.6002,642.2898,0.0,0.0,683.89,10140.97,34.64,9833.04,273.29,-,08-10-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,112.30820959758982,31918.659999999996,4.5
2745,SDART0201700003,"=""2073684""",09/01/2017,09-30-2017,SC,09/2012,15782.94,72,03/2019,0.18,1,1,-,10/2012,True,1,2,0,NISSAN,ALTIMA,2,2009,1,13325.0,98,Bureau,516,2,2,1,0.04444074,PA,-,19,False,1,8973.39,0.0,0.18,0.18,0.03,-,-,0.0,63.3449,296.6251,0.0,0.0,359.97,9110.57,137.18,8973.39,0.0,-,08-14-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,118.44607879924953,6809.550000000001,4.8
2758,SDART0201700003,"=""2065712""",09/01/2017,09-30-2017,SC,09/2012,21349.5,72,09/2018,0.1159,1,1,-,10/2012,True,1,2,0,HONDA,CR-V-4 Cyl.,2,2009,3,20050.0,98,Bureau,600,2,2,0,0.13372581,WI,-,13,False,1,5456.46,0.0,0.1159,0.1159,0.03,-,-,0.0,46.9948,365.8552,0.0,0.0,412.85,5520.18,53.72,5456.46,10.0,-,08-04-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,106.48129675810473,15893.04,3.3
