,assetTypeNumber,assetNumber,reportingPeriodBeginningDate,reportingPeriodEndingDate,originatorName,originationDate,originalLoanAmount,originalLoanTerm,loanMaturityDate,originalInterestRatePercentage,interestCalculationTypeCode,originalInterestRateTypeCode,originalInterestOnlyTermNumber,originalFirstPaymentDate,underwritingIndicator,gracePeriodNumber,paymentTypeCode,subvented,vehicleManufacturerName,vehicleModelName,vehicleNewUsedCode,vehicleModelYear,vehicleTypeCode,vehicleValueAmount,vehicleValueSourceCode,obligorCreditScoreType,obligorCreditScore,obligorIncomeVerificationLevelCode,obligorEmploymentVerificationCode,coObligorIndicator,paymentToIncomePercentage,obligorGeographicLocation,assetAddedIndicator,remainingTermToMaturityNumber,reportingPeriodModificationIndicator,servicingAdvanceMethodCode,reportingPeriodBeginningLoanBalanceAmount,nextReportingPeriodPaymentAmountDue,reportingPeriodInterestRatePercentage,nextInterestRatePercentage,servicingFeePercentage,servicingFlatFeeAmount,otherServicerFeeRetainedByServicer,otherAssessedUncollectedServicerFeeAmount,scheduledInterestAmount,scheduledPrincipalAmount,otherPrincipalAdjustmentAmount,reportingPeriodActualEndBalanceAmount,reportingPeriodScheduledPaymentAmount,totalActualAmountPaid,actualInterestCollectedAmount,actualPrincipalCollectedAmount,actualOtherCollectedAmount,servicerAdvancedAmount,interestPaidThroughDate,zeroBalanceEffectiveDate,zeroBalanceCode,currentDelinquencyStatus,primaryLoanServicerName,mostRecentServicingTransferReceivedDate,assetSubjectDemandIndicator,assetSubjectDemandStatusCode,repurchaseAmount,DemandResolutionDate,repurchaserName,repurchaseReplacementReasonCode,chargedoffPrincipalAmount,recoveredAmount,modificationTypeCode,paymentExtendedNumber,repossessedIndicator,repossessedProceedsAmount,LTV,loanDiff,StateUnemployment
47879,SDART0201700003,"=""17243649""",09/01/2017,09-30-2017,SC,07/2017,10047.38,60,07/2022,0.2297,1,1,-,08/2017,True,1,2,0,HYUNDAI,Sonata,2,2013,1,11025.0,98,Bureau,493,3,3,0,0.11965594,NY,-,59,False,1,10047.38,0.0,0.2297,0.2297,0.03,-,-,0.0,189.7195,93.3505,901.55,0.0,283.07,8855.83,0.0,9145.83,0.0,-,-,09/2017,3,0,SC,-,False,-,-,-,-,-,0.00,0.00,-,0,False,-,91.1326984126984,0.0,4.7
48176,SDART0201700003,"=""17296956""",09/01/2017,09-30-2017,SC,08/2017,23166.75,75,11/2023,0.18,1,1,-,09/2017,True,1,2,0,FIAT,500X,1,2017,3,26644.0,98,Bureau,561,2,2,0,0.10107788,TX,-,75,False,1,23166.75,0.0,0.18,0.18,0.03,-,-,0.0,346.2572,170.3828,0.0,0.0,516.64,23692.28,525.53,23166.75,0.0,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,86.94921933643597,0.0,4.0
48373,SDART0201700003,"=""17248951""",09/01/2017,09-30-2017,SC,07/2017,20930.0,72,08/2023,0.2191,1,1,-,09/2017,True,2,2,0,MITSUBISHI,Outlander Sport,1,2017,3,22114.3,98,Bureau,-,2,2,1,0.04376509,NY,-,72,False,1,20714.09,0.0,0.2191,0.2191,0.03,-,-,0.0,380.8678,143.9022,0.0,0.0,524.77,20863.3,149.21,20714.09,0.0,-,08-21-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,94.64464170242785,215.90999999999985,4.7
48593,SDART0201700003,"=""17310355""",09/01/2017,09-30-2017,SC,07/2017,4960.72,36,08/2020,0.2596,1,1,-,09/2017,False,2,2,0,CHEVROLET TRUCK,Equinox,2,2010,3,7950.0,98,Bureau,-,3,2,0,0.07992916,NE,-,36,False,1,4960.72,0.0,0.2596,0.2596,0.03,-,-,0.0,106.3934,93.3666,0.0,0.0,199.76,5189.17,228.45,4960.72,0.0,-,09-06-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,62.39899371069183,0.0,2.9
48810,SDART0201700003,"=""17286088""",09/01/2017,09-30-2017,SC,06/2017,23478.5,72,08/2023,0.1834,1,1,-,08/2017,True,2,2,0,JEEP,Renegade,1,2017,3,25062.0,98,Bureau,566,2,2,1,0.07158947,WI,-,72,False,1,23478.5,0.0,0.1834,0.1834,0.03,-,-,0.0,354.6807,185.3393,0.0,0.0,540.02,23878.19,399.69,23478.5,0.0,-,08-14-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,93.68166945973985,0.0,3.3
49012,SDART0201700003,"=""17255873""",09/01/2017,09-30-2017,SC,07/2017,8668.8,60,08/2022,0.1098,1,1,-,09/2017,True,2,2,0,HYUNDAI,Sonata-4 Cyl.,2,2012,1,9650.0,98,Bureau,675,2,2,1,0.02102778,FL,-,60,False,1,8668.8,0.0,0.1098,0.1098,0.03,-,-,0.0,78.8198,109.5702,0.0,0.0,188.39,8860.69,166.89,8668.8,25.0,-,07-25-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,89.8321243523316,0.0,3.9
49204,SDART0201700003,"=""17276722""",09/01/2017,09-30-2017,SC,08/2017,11763.49,72,08/2023,0.2799,1,1,-,09/2017,True,1,2,0,NISSAN,Sentra,2,2014,1,11599.0,98,Bureau,-,2,2,0,0.17310606,MO,-,72,False,1,11763.49,0.0,0.2799,0.2799,0.03,-,-,0.0,273.6273,65.1627,0.0,0.0,338.79,12132.07,368.58,11763.49,0.0,-,09-05-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,101.41813949478401,0.0,3.6
49208,SDART0201700003,"=""17255926""",09/01/2017,09-30-2017,SC,07/2017,36000.75,72,08/2023,0.1135,1,1,-,09/2017,True,2,2,0,GMC LIGHT DUTY,Sierra 2500 HD,1,2017,2,66418.21,98,Bureau,658,3,2,1,0.07966613,AL,-,72,False,1,36000.75,0.0,0.1135,0.1135,0.03,-,-,0.0,338.8609,352.8491,744.0,0.0,691.71,35256.75,0.0,35256.75,0.0,-,-,09/2017,3,0,SC,-,False,-,-,-,-,-,0.00,0.00,-,0,False,-,54.20313194227908,0.0,3.9
49242,SDART0201700003,"=""17267020""",09/01/2017,09-30-2017,SC,07/2017,33541.36,63,10/2022,0.1175,1,1,-,08/2017,True,1,2,0,CHEVROLET,Camaro,2,2015,1,30950.0,98,Bureau,621,2,2,0,0.10634433,AR,-,62,False,1,33541.36,0.0,0.1175,0.1175,0.03,-,-,0.0,324.6297,391.2803,0.0,0.0,715.91,34164.31,622.95,33541.36,0.0,-,09-01-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,108.37273021001617,0.0,3.7
49274,SDART0201700003,"=""17267046""",09/01/2017,09-30-2017,SC,07/2017,17310.16,72,07/2023,0.1599,1,1,-,08/2017,True,1,2,0,NISSAN,Rogue Select,2,2014,3,15050.0,98,Bureau,569,2,2,0,0.0938475,IL,-,71,False,1,17162.26,0.0,0.1599,0.1599,0.03,-,-,0.0,228.7269,146.6631,0.0,0.0,375.39,17312.59,150.33,17162.26,0.0,-,08-23-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,115.01767441860464,147.90000000000146,5.0
49474,SDART0201700003,"=""17321210""",09/01/2017,09-30-2017,SC,08/2017,19724.0,75,12/2023,0.1227,1,1,-,09/2017,True,1,2,0,JEEP,Renegade,1,2017,3,24357.0,98,Bureau,617,2,2,0,0.08115385,OK,-,76,False,1,19724.0,0.0,0.1227,0.1227,0.03,-,-,0.0,200.779,177.091,0.0,0.0,377.87,20015.74,291.74,19724.0,0.0,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,80.97877406905613,0.0,4.1
49609,SDART0201700003,"=""17277451""",09/01/2017,09-30-2017,SC,07/2017,10740.0,48,08/2021,0.1916,1,1,-,09/2017,True,2,2,0,MAZDA,CX-9-V6,2,2011,3,9675.0,98,Bureau,490,2,2,1,0.08752457,NH,-,48,False,1,10740.0,0.0,0.1874,0.1874,0.03,-,-,0.0,170.292,151.738,0.0,0.0,322.03,10960.12,204.02,10740.0,16.1,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,111.0077519379845,0.0,2.6
49771,SDART0201700003,"=""17309106""",09/01/2017,09-30-2017,SC,08/2017,22426.0,72,08/2023,0.1867,1,1,-,09/2017,True,1,2,0,RAM,1500,2,2016,2,27875.0,98,Bureau,-,2,2,0,0.104812,SC,-,72,False,1,22426.0,0.0,0.1866,0.1866,0.03,-,-,0.0,347.5832,172.4368,0.0,0.0,520.02,22712.62,286.62,22426.0,0.0,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,80.45201793721974,0.0,4.2
49870,SDART0201700003,"=""17286703""",09/01/2017,09-30-2017,SC,08/2017,13736.37,60,08/2022,0.1373,1,1,-,09/2017,True,1,2,0,Chevrolet,Volt,2,2014,1,14390.0,3,Bureau,706,2,2,0,0.11147368,CA,-,60,False,1,13736.37,0.0,0.1373,0.1373,0.03,-,-,0.0,157.1661,160.5339,0.0,0.0,317.7,13881.05,144.68,13736.37,0.0,-,09-04-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,95.45774843641418,0.0,4.5
50010,SDART0201700003,"=""17266182""",09/01/2017,09-30-2017,SC,08/2017,16854.09,72,08/2023,0.1831,1,1,-,09/2017,True,1,2,0,KIA,Cadenza,2,2014,1,16100.0,98,Bureau,531,2,2,0,0.13357241,AL,-,72,False,1,16854.09,0.0,0.1831,0.1831,0.03,-,-,0.0,257.1626,130.1974,0.0,0.0,387.36,17267.83,413.74,16854.09,0.0,-,09-07-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,104.68378881987577,0.0,3.9
50020,SDART0201700003,"=""17260314""",09/01/2017,09-30-2017,SC,07/2017,37470.71,75,11/2023,0.1909,1,1,-,09/2017,True,2,2,0,DODGE TRUCK,Ram 1500 Pickup,1,2017,2,37137.0,98,Bureau,595,2,2,0,0.05412063,AL,-,75,False,1,37470.71,0.0,0.1909,0.1909,0.03,-,-,0.0,593.9999,265.0901,0.0,0.0,859.09,38078.23,607.52,37470.71,0.0,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,100.89859170099899,0.0,3.9
50242,SDART0201700003,"=""17310159""",09/01/2017,09-30-2017,SC,08/2017,6394.0,36,08/2020,0.0791,1,1,-,09/2017,True,1,2,0,TOYOTA,Yaris-4 Cyl.,2,2010,1,5588.0,98,Bureau,708,2,2,0,0.05342203,LA,-,36,False,1,6394.0,0.0,0.0789,0.0789,0.03,-,-,0.0,41.6263,158.4737,0.0,0.0,200.1,6424.4,30.4,6394.0,0.0,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,114.4237652111668,0.0,4.8
50422,SDART0201700003,"=""17268694""",09/01/2017,09-30-2017,SC,08/2017,12212.5,72,08/2023,0.1263,1,1,-,09/2017,True,1,2,0,NISSAN,Altima,1,2017,1,25587.0,98,Bureau,-,2,2,1,0.08266938,SC,-,72,False,1,12212.5,0.0,0.1263,0.1263,0.03,-,-,0.0,127.9455,114.8345,0.0,0.0,242.78,12360.59,148.09,12212.5,0.0,-,09-07-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,47.72931566811272,0.0,4.2
50539,SDART0201700003,"=""17285059""",09/01/2017,09-30-2017,SC,08/2017,17426.99,72,08/2023,0.0784,1,1,-,09/2017,True,1,2,0,JEEP,Renegade,2,2015,3,14025.0,98,Bureau,726,2,1,0,0.0381225,GA,-,72,False,1,12485.87,0.0,0.0784,0.0784,0.03,-,-,0.0,113.3613,190.8287,0.0,0.0,304.19,12580.21,64.34,12485.87,30.0,-,09-05-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,124.25661319073085,4941.120000000001,4.5
50708,SDART0201700003,"=""17267948""",09/01/2017,09-30-2017,SC,07/2017,22487.55,72,08/2023,0.1704,1,1,-,09/2017,True,2,2,0,NISSAN,Rogue,1,2017,3,25103.0,98,Bureau,599,2,2,0,0.18909726,TX,-,72,False,1,22487.55,0.0,0.1603,0.1603,0.03,-,-,0.0,318.0531,182.7069,0.0,0.0,500.76,22990.89,503.34,22487.55,0.0,-,09-09-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,89.58112576186113,0.0,4.0
50739,SDART0201700003,"=""17267952""",09/01/2017,09-30-2017,SC,07/2017,14711.35,72,07/2023,0.2,1,1,-,08/2017,True,1,2,0,HONDA,Civic,2,2014,1,12725.0,98,Bureau,-,2,2,1,0.1355475,NC,-,71,False,1,14711.35,0.0,0.2,0.2,0.03,-,-,0.0,242.51,109.87,0.0,0.0,352.38,15410.59,693.24,14711.35,6.0,-,07-16-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,115.6098231827112,0.0,4.4
50870,SDART0201700003,"=""17319292""",09/01/2017,09-30-2017,SC,08/2017,24979.78,72,09/2023,0.2,1,1,-,10/2017,False,2,2,0,GMC LIGHT DUTY,Terrain,2,2014,3,16998.0,98,Bureau,587,3,3,0,0.15524757,NC,-,73,False,1,24979.78,0.0,0.2,0.2,0.03,-,-,0.0,417.826,180.514,1100.0,0.0,598.34,23879.78,0.0,23879.78,0.0,-,-,09/2017,3,0,SC,-,False,-,-,-,-,-,0.00,0.00,-,0,False,-,146.95717143193318,0.0,4.4
51066,SDART0201700003,"=""17247912""",09/01/2017,09-30-2017,SC,07/2017,35898.89,72,08/2023,0.1968,1,1,-,09/2017,True,2,2,0,CHEVROLET TRUCK,Colorado,2,2017,2,31219.0,98,Bureau,622,2,2,1,0.14472241,TN,-,72,False,1,35898.89,0.0,0.1966,0.1966,0.03,-,-,0.0,586.5691,266.6609,0.0,0.0,853.23,36565.7,666.81,35898.89,0.0,-,08-14-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,114.99051859444569,0.0,3.3
51354,SDART0201700003,"=""17314195""",09/01/2017,09-30-2017,SC,08/2017,8264.5,72,08/2023,0.2052,1,1,-,09/2017,True,1,2,0,NISSAN,Versa,2,2017,1,10875.0,98,Bureau,497,2,2,0,0.06970345,LA,-,72,False,1,8264.5,0.0,0.2052,0.2052,0.03,-,-,0.0,140.8294,59.6306,0.0,0.0,200.46,8459.67,195.17,8264.5,0.0,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,75.99540229885058,0.0,4.8
51639,SDART0201700003,"=""17332210""",09/01/2017,09-30-2017,SC,08/2017,25550.36,72,08/2023,0.15,1,1,-,09/2017,True,1,2,0,TOYOTA,Sienna,1,2017,1,45291.49,98,Bureau,-,2,2,0,0.06523203,CT,-,72,False,1,25550.36,0.0,0.15,0.15,0.03,-,-,0.0,318.0124,222.2476,0.0,0.0,540.26,25854.86,304.5,25550.36,0.0,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,56.41315841011193,0.0,4.5
51671,SDART0201700003,"=""17323989""",09/01/2017,09-30-2017,SC,08/2017,26688.52,72,08/2023,0.1889,1,1,-,09/2017,True,1,2,0,TOYOTA,Tacoma Double Cab,2,2014,2,25050.0,98,Bureau,584,2,2,0,0.13826889,NC,-,72,False,1,26688.52,0.0,0.1889,0.1889,0.03,-,-,0.0,420.1215,202.0885,0.0,0.0,622.21,27116.69,428.17,26688.52,0.0,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,106.54099800399202,0.0,4.4
51742,SDART0201700003,"=""17261161""",09/01/2017,09-30-2017,SC,08/2017,17272.16,72,08/2023,0.1725,1,1,-,09/2017,True,1,2,0,SUBARU,XV Crosstrek,2,2013,1,14850.0,98,Bureau,644,2,2,0,0.14602107,TX,-,72,False,1,17272.16,0.0,0.1725,0.1725,0.03,-,-,0.0,247.3054,139.3446,0.0,0.0,386.65,17745.47,473.31,17272.16,0.0,-,09-15-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,116.31084175084175,0.0,4.0
51884,SDART0201700003,"=""17262021""",09/01/2017,09-30-2017,SC,07/2017,15459.0,72,07/2023,0.1586,1,1,-,08/2017,True,1,2,0,NISSAN,Sentra,2,2016,1,11725.0,98,Bureau,618,2,2,1,0.03033745,OK,-,71,False,1,15459.0,0.0,0.1586,0.1586,0.03,-,-,0.0,201.7755,132.3645,0.0,0.0,334.14,15801.57,342.57,15459.0,0.0,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,131.84648187633263,0.0,4.1
51949,SDART0201700003,"=""17324174""",09/01/2017,09-30-2017,SC,08/2017,28069.12,72,09/2023,0.1475,1,1,-,10/2017,True,2,2,0,DODGE TRUCK,Ram 1500 Pickup-V8,2,2013,2,21475.0,98,Bureau,571,2,2,0,0.06716995,WI,-,73,False,1,28069.12,0.0,0.138,0.138,0.03,-,-,0.0,346.5256,243.1944,0.0,0.0,589.72,28238.91,169.79,28069.12,0.0,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,130.7060302677532,0.0,3.3
52016,SDART0201700003,"=""17315993""",09/01/2017,09-30-2017,SC,08/2017,14451.63,60,08/2022,0.18,1,1,-,09/2017,True,1,2,0,Hyundai,Sonata,1,2018,1,30087.0,98,Bureau,-,2,1,0,0.147728,PA,-,60,False,1,14451.63,0.0,0.18,0.18,0.03,-,-,0.0,215.8188,151.1612,0.0,0.0,366.98,14572.78,121.15,14451.63,0.0,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,48.03280486588892,0.0,4.8
52118,SDART0201700003,"=""17271983""",09/01/2017,09-30-2017,SC,08/2017,12241.5,72,08/2023,0.2076,1,1,-,09/2017,True,1,2,0,TOYOTA,Corolla,2,2015,1,12800.0,98,Bureau,-,2,2,0,0.14693171,MA,-,72,False,1,12133.35,0.0,0.1986,0.1986,0.03,-,-,0.0,211.0332,87.6068,0.0,0.0,298.64,12232.37,99.02,12133.35,0.0,-,08-29-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,95.63671875,108.14999999999964,3.6
52242,SDART0201700003,"=""17332667""",09/01/2017,09-30-2017,SC,08/2017,12156.0,72,08/2023,0.1909,1,1,-,09/2017,True,1,2,0,FORD TRUCK,Escape,2,2012,3,9075.0,98,Bureau,627,2,2,0,0.11795641,TX,-,72,False,1,12156.0,0.0,0.1909,0.1909,0.03,-,-,0.0,192.7112,92.0788,0.0,0.0,284.79,12454.81,298.81,12156.0,0.0,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,133.9504132231405,0.0,4.0
52250,SDART0201700003,"=""17332732""",09/01/2017,09-30-2017,SC,08/2017,9191.26,72,08/2023,0.2773,1,1,-,09/2017,True,1,2,0,Dodge,Dart,2,2013,1,8998.0,98,Bureau,532,2,2,0,0.06814663,WA,-,72,False,1,9191.26,0.0,0.2773,0.2773,0.03,-,-,0.0,211.8827,51.3173,1030.0,0.0,263.2,8161.26,0.0,8161.26,0.0,-,-,09/2017,3,0,SC,-,False,-,-,-,-,-,0.00,0.00,-,0,False,-,102.14781062458324,0.0,4.7
52272,SDART0201700003,"=""17332773""",09/01/2017,09-30-2017,SC,08/2017,29502.0,72,09/2023,0.1452,1,1,-,10/2017,True,2,2,0,Ford,Escape,1,2017,3,29623.56,98,Bureau,657,2,2,0,0.14415814,AZ,-,73,False,1,29502.0,0.0,0.1452,0.1452,0.03,-,-,0.0,358.5293,257.6307,149.0,0.0,616.16,29353.0,0.0,29353.0,0.0,-,-,09/2017,3,0,SC,-,False,-,-,-,-,-,0.00,0.00,-,0,False,-,99.58965093999505,0.0,4.7
52349,SDART0201700003,"=""17291089""",09/01/2017,09-30-2017,SC,08/2017,10504.66,60,08/2022,0.2468,1,1,-,09/2017,True,1,2,0,GMC LIGHT DUTY,Acadia,2,2009,3,10050.0,98,Bureau,-,2,2,0,0.08143158,TX,-,60,False,1,1399.05,0.0,0.2138,0.2138,0.03,-,-,0.0,215.1393,91.2207,1399.05,0.0,306.36,0.0,0.0,0.0,0.0,-,-,09/2017,3,0,SC,-,False,-,-,-,-,-,0.00,0.00,-,0,False,-,104.52398009950248,9105.61,4.0
52495,SDART0201700003,"=""17292348""",09/01/2017,09-30-2017,SC,07/2017,8883.0,48,07/2021,0.1853,1,1,-,08/2017,True,1,2,0,HONDA,Civic-4 Cyl.,2,2012,1,6625.0,98,Bureau,667,3,3,1,0.05181001,AR,-,47,False,1,8741.36,0.0,0.1853,0.1853,0.03,-,-,0.0,135.2166,128.1834,0.0,0.0,263.4,8878.79,137.43,8741.36,0.0,-,09-15-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,134.08301886792452,141.63999999999942,3.7
52586,SDART0201700003,"=""17330408""",09/01/2017,09-30-2017,SC,08/2017,11595.0,60,09/2022,0.1814,1,1,-,10/2017,True,2,2,0,GMC LIGHT DUTY,Terrain,2,2012,3,11825.0,98,Bureau,599,2,2,0,0.15842386,GA,-,61,False,1,11595.0,0.0,0.1814,0.1814,0.03,-,-,0.0,176.1841,119.1359,0.0,0.0,295.32,11618.04,23.04,11595.0,0.0,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,98.05496828752642,0.0,4.5
52878,SDART0201700003,"=""17261470""",09/01/2017,09-30-2017,SC,07/2017,24308.0,75,12/2023,0.2234,1,1,-,09/2017,True,2,2,0,JEEP,Cherokee-4 Cyl.,1,2017,3,26264.0,98,Bureau,623,2,2,1,0.05592477,GA,-,76,False,1,24308.0,0.0,0.2234,0.2234,0.03,-,-,0.0,451.1251,152.8349,0.0,0.0,603.96,25007.25,699.25,24308.0,0.0,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,92.55254340542187,0.0,4.5
53084,SDART0201700003,"=""17276299""",09/01/2017,09-30-2017,SC,08/2017,20043.9,72,08/2023,0.1829,1,1,-,09/2017,True,1,2,0,CHEVROLET TRUCK,Silverado 1500,2,2012,2,17950.0,98,Bureau,556,2,1,0,0.09045972,MS,-,72,False,1,20043.9,0.0,0.1829,0.1829,0.03,-,-,0.0,305.5063,154.9437,0.0,0.0,460.45,20365.25,321.35,20043.9,0.0,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,111.66518105849583,0.0,4.9
53262,SDART0201700003,"=""17335518""",09/01/2017,09-30-2017,SC,08/2017,13740.83,72,09/2023,0.24,1,1,-,10/2017,True,2,2,0,KIA,Sorento-4 Cyl.,2,2011,3,11499.0,98,Bureau,-,2,2,0,0.146148,MD,-,73,False,1,13740.83,0.0,0.24,0.24,0.03,-,-,0.0,275.6665,86.0835,1100.0,0.0,361.75,12640.83,0.0,12640.83,0.0,-,-,09/2017,3,0,SC,-,False,-,-,-,-,-,0.00,0.00,-,0,False,-,119.49586920601791,0.0,4.0
53509,SDART0201700003,"=""17280778""",09/01/2017,09-30-2017,SC,08/2017,21860.97,72,08/2023,0.1261,1,1,-,09/2017,True,1,2,0,ACURA,RDX,2,2015,3,21075.0,98,Bureau,592,2,2,0,0.07276833,FL,-,72,False,1,21860.97,0.0,0.1094,0.1094,0.03,-,-,0.0,228.6563,205.6937,0.0,0.0,434.35,22182.03,321.06,21860.97,0.0,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,103.72939501779359,0.0,3.9
53537,SDART0201700003,"=""17335847""",09/01/2017,09-30-2017,SC,07/2017,18259.0,72,07/2023,0.1749,1,1,-,08/2017,True,1,2,0,TOYOTA,Yaris iA,1,2017,1,17571.0,98,Bureau,632,2,1,0,0.13805,MO,-,71,False,1,18259.0,1896.14,0.1749,0.0,0.03,-,-,243.0,262.9542,148.2458,18259.0,0.0,411.2,0.0,0.0,0.0,0.0,-,-,09/2017,3,31,SC,-,False,-,-,-,-,-,0.00,0.00,-,0,False,-,103.91554265551193,0.0,3.6
53555,SDART0201700003,"=""17336068""",09/01/2017,09-30-2017,SC,08/2017,7689.53,60,09/2022,0.2024,1,1,-,10/2017,True,2,2,0,KIA,Rio,2,2013,1,5700.0,98,Bureau,594,2,2,0,0.07330642,NC,-,61,False,1,7689.53,0.0,0.2024,0.2024,0.03,-,-,0.0,130.3157,74.4343,0.0,0.0,204.75,7855.82,166.29,7689.53,0.0,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,134.90403508771928,0.0,4.4
53570,SDART0201700003,"=""17325287""",09/01/2017,09-30-2017,SC,08/2017,17414.0,72,08/2023,0.2125,1,1,-,09/2017,True,1,2,0,TOYOTA,Yaris iA,1,2017,1,18188.73,98,Bureau,-,2,2,0,0.19838277,GA,-,72,False,1,17414.0,0.0,0.2124,0.2124,0.03,-,-,0.0,308.3746,121.4554,0.0,0.0,429.83,17606.53,192.53,17414.0,0.0,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,95.74060420930984,0.0,4.5
53621,SDART0201700003,"=""17300294""",09/01/2017,09-30-2017,SC,08/2017,14177.0,72,08/2023,0.1773,1,1,-,09/2017,True,1,2,0,CHEVROLET,Camaro,2,2015,1,12475.0,98,Bureau,609,2,2,0,0.08089,TN,-,72,False,1,14177.0,0.0,0.1772,0.1772,0.03,-,-,0.0,208.6435,112.5465,0.0,0.0,321.19,14397.24,220.24,14177.0,0.0,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,113.64328657314628,0.0,3.3
53636,SDART0201700003,"=""17300299""",09/01/2017,09-30-2017,SC,07/2017,28372.82,72,09/2023,0.1996,1,1,-,09/2017,True,2,2,0,BMW,3 Series,2,2014,1,21300.0,98,Bureau,600,2,2,0,0.11408667,NC,-,73,False,1,28372.82,0.0,0.1969,0.1969,0.03,-,-,0.0,470.2352,208.7148,0.0,0.0,678.95,29260.55,887.73,28372.82,0.0,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,133.2057276995305,0.0,4.4
53846,SDART0201700003,"=""17325393""",09/01/2017,09-30-2017,SC,08/2017,7850.55,48,09/2021,0.253,1,1,-,10/2017,True,2,2,0,Hyundai,Elantra,2,2013,1,6742.0,98,Bureau,-,2,2,0,0.12584762,CA,-,49,False,1,7850.55,0.0,0.253,0.253,0.03,-,-,0.0,166.545,95.075,748.78,0.0,261.62,7101.77,0.0,7101.77,0.0,-,-,09/2017,3,0,SC,-,False,-,-,-,-,-,0.00,0.00,-,0,False,-,116.44245031148029,0.0,4.5
53873,SDART0201700003,"=""17295180""",09/01/2017,09-30-2017,SC,08/2017,9890.08,72,08/2023,0.2072,1,1,-,09/2017,True,1,2,0,Ford,Fiesta,2,2014,1,7327.0,98,Bureau,597,2,2,0,0.10818425,CO,-,72,False,1,9890.08,0.0,0.2072,0.2072,0.03,-,-,0.0,170.1703,70.8697,0.0,0.0,241.04,10047.28,157.2,9890.08,0.0,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,134.98130203357445,0.0,3.0
53928,SDART0201700003,"=""17295244""",09/01/2017,09-30-2017,SC,08/2017,10000.0,60,08/2022,0.125,1,1,-,09/2017,True,1,2,0,JEEP,Cherokee-4 Cyl.,1,2017,3,32351.0,98,Bureau,-,2,2,1,0.05399172,IA,-,60,False,1,10000.0,0.0,0.125,0.125,0.03,-,-,0.0,104.1723,120.8077,0.0,0.0,224.98,10065.06,65.06,10000.0,0.0,-,-,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,30.91094556582486,0.0,3.0
